title,slug,videoUrl,description,brand,categories,specifications,shippingAndReturns,rating,isBestSeller,isNewArrival,isFeatured,isOnDeal,variant_name,variant_sku,variant_price,variant_salePrice,variant_stock,variant_inStock,variant_images,variant_weight,variant_height,variant_width,variant_depth,attribute1_name,attribute1_value,attribute2_name,attribute2_value,attribute3_name,attribute3_value
Kids Face Mask,kids-face-mask,,Number Of Pieces: 6 Pcs,,Health Accessories,Material: Cotton | | Number Of Pieces: 6 Pcs |,,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Standard Size / Multicolor,PV_MZ1288200044HDCN_standard-size_standard,605.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1288-223-450920-product-1.jpg,,,,,Size,Standard Size,Color,Multicolor,,
,,,,,,,,,,,,,Standard Size / Multicolor,PV_MZ1288200045HDCN_standard-size_standard,605.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1288-223-450921-product-1.jpg,,,,,Size,Standard Size,Color,Multicolor,,
Pain Relief Socks,pain-relief-socks,,Number Of Pieces: 2 Pcs,,Health Accessories,Material: Silicone | | Number Of Pieces: 2 Pcs |,,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Standard / Pink,PV_MZ1701200900ALHAGS_standard_pink,730.0,,117,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-673753-product-2.webp,,,,,Color,Pink,Size,Standard,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ1701200733ALHAGS_standard-size_pink,660.0,,81,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-662601-product-2.webp,,,,,Size,Standard Size,Color,Pink,,
,,,,,,,,,,,,,Adjustable / Pink,PV_MZ2073200077BBNDMDNO_adjustable_pink,630.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/2073-223-688436-product-1.webp,,,,,Size,Adjustable,Color,Pink,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ2073200011BBNDMDNO_standard-size_pink,590.0,,85,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/2073-223-684970-product-1.webp,,,,,Size,Standard Size,Color,Pink,,
,,,,,,,,,,,,,Standard / White,PV_MZ1518200821BGSE_standard_white,659.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1518-223-687238-product-1.webp,,,,,Color,White,Size,Standard,,
,,,,,,,,,,,,,Standard Size / Multicolor,PV_MZ1518200534BGSE_standard-size_standard,640.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1518-223-636301-product-1.webp,,,,,Size,Standard Size,Color,Multicolor,,
,,,,,,,,,,,,,Adjustable / Peach,PV_MZ1701201118ALHAGS_adjustable_peach,460.0,,96,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-683273-product-2.webp,,,,,Size,Adjustable,Color,Peach,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ1701200725ALHAGS_standard-size_pink,660.0,,119,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-662040-product-2.webp,,,,,Size,Standard Size,Color,Pink,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ1701200711ALHAGS_standard-size_pink,659.0,,204,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-659653-product-2.webp,,,,,Size,Standard Size,Color,Pink,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ1701201047ALHAGS_standard-size_pink,660.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-681113-product-2.webp,,,,,Size,Standard Size,Color,Pink,,
,,,,,,,,,,,,,Standard Size / Pink,PV_MZ1701201017ALHAGS_standard-size_pink,660.0,,98,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-680440-product-1.webp,,,,,Size,Standard Size,Color,Pink,,
